DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/22/2015 22:00,Clear,0,40.07,40.07,none
1/22/2015 23:00,Clear,0,38.84,38.84,none
1/23/2015 0:00,Clear,0,38.09,38.09,none
1/23/2015 1:00,Clear,0,36.44,36.44,none
1/23/2015 2:00,Clear,0,35.15,35.15,none
1/23/2015 3:00,Mostly Cloudy,0,34.82,34.82,none
1/23/2015 4:00,Overcast,0,36.9,36.9,none
1/23/2015 5:00,Overcast,0,37.7,37.7,none
1/23/2015 6:00,Overcast,0,38.14,38.14,none
1/23/2015 7:00,Overcast,0,38.1,38.1,none
1/23/2015 8:00,Overcast,0,38.38,38.38,none
1/23/2015 9:00,Overcast,0,39.02,39.02,none
1/23/2015 10:00,Overcast,0,40.3,40.3,none
1/23/2015 11:00,Overcast,0,40.72,40.72,none
1/23/2015 12:00,Overcast,0.0047,39.99,39.99,rain
1/23/2015 13:00,Light Rain,0.0212,39.34,39.34,rain
1/23/2015 14:00,Light Rain,0.0363,38.6,38.6,rain
1/23/2015 15:00,Rain,0.0569,38.1,38.1,rain
1/23/2015 16:00,Light Rain,0.053,37.72,37.72,rain
1/23/2015 17:00,Light Rain,0.039,37.59,37.59,rain
1/23/2015 18:00,Light Rain,0.0346,37.62,37.62,rain
1/23/2015 19:00,Rain,0.0585,37.79,37.79,rain
1/23/2015 20:00,Rain,0.056,38.19,38.19,rain
1/23/2015 21:00,Light Rain,0.0493,38.63,38.63,rain
1/23/2015 22:00,Rain,0.068,38.88,38.88,rain
1/23/2015 23:00,Rain,0.0764,39.02,39.02,rain
1/24/2015 0:00,Rain,0.0542,38.71,38.71,rain
1/24/2015 1:00,Light Rain,0.0265,38.18,38.18,rain
1/24/2015 2:00,Overcast,0.0077,37.23,37.23,rain
1/24/2015 3:00,Overcast,0.0031,36.37,36.37,rain
1/24/2015 4:00,Overcast,0.0027,35.46,35.46,rain
1/24/2015 5:00,Overcast,0.0009,35.14,35.14,rain
1/24/2015 6:00,Overcast,0.006,35.32,35.32,rain
1/24/2015 7:00,Light Rain,0.037,35.45,35.45,rain
1/24/2015 8:00,Light Rain,0.0219,35.83,35.83,rain
1/24/2015 9:00,Overcast,0.0025,36.5,36.5,rain
1/24/2015 10:00,Overcast,0,37.91,37.91,none
1/24/2015 11:00,Mostly Cloudy,0,39.91,39.91,none
1/24/2015 12:00,Overcast,0.0031,40.88,40.88,rain
1/24/2015 13:00,Light Rain,0.0152,42.76,42.76,rain
1/24/2015 14:00,Overcast,0.0024,45.09,45.09,rain
1/24/2015 15:00,Partly Cloudy,0,46.74,45.9,none
1/24/2015 16:00,Partly Cloudy,0,48.33,48.33,none
1/24/2015 17:00,Clear,0,47.28,47.28,none
1/24/2015 18:00,Clear,0,44.36,44.36,none
1/24/2015 19:00,Clear,0,42.39,42.39,none
1/24/2015 20:00,Clear,0,40.34,40.34,none
1/24/2015 21:00,Clear,0,38,38,none
1/24/2015 22:00,Clear,0,37.2,37.2,none
1/24/2015 23:00,Clear,0,37.18,37.18,none
1/25/2015 0:00,Clear,0,36.77,36.77,none
1/25/2015 1:00,Clear,0,35.49,35.49,none
1/25/2015 2:00,Clear,0,33.94,33.94,none
1/25/2015 3:00,Clear,0,32.68,32.68,none
1/25/2015 4:00,Clear,0,32.03,32.03,none
1/25/2015 5:00,Clear,0,31.85,31.85,none
1/25/2015 6:00,Clear,0,31.57,31.57,none
1/25/2015 7:00,Clear,0,30.6,30.6,none
1/25/2015 8:00,Clear,0,30.21,30.21,none
1/25/2015 9:00,Clear,0,35.6,35.6,none
